user_id,track_id,interaction,listen_count
user_0001,TRK-252D704367E5,LIKED,8
user_0001,TRK-5CF7AAC249A3,LISTENED,9
user_0001,TRK-B7F5967543AB,LISTENED,6
user_0001,TRK-8D4D29E0D363,LISTENED,10
user_0001,TRK-5D45B4E063F0,LISTENED,4
user_0001,TRK-C1EEDC9811A5,LIKED,11
user_0001,TRK-2771CA3B385A,LISTENED,11
user_0001,TRK-8695610364B1,LIKED,14
user_0001,TRK-65035DFDF68D,LIKED,4
user_0001,TRK-1481F7B66F45,LIKED,9
user_0001,TRK-D76DDB214383,LISTENED,2
user_0001,TRK-F9BD70226360,LISTENED,10
user_0001,TRK-357BC1FF47EE,LISTENED,4
user_0001,TRK-31DB1A39F087,LISTENED,3
user_0001,TRK-502B45C9CA96,LISTENED,13
user_0001,TRK-D55142D5C8A3,LIKED,8
user_0001,TRK-0BCB4BB0B74F,LISTENED,11
user_0001,TRK-7E2CA8FCBB2B,LISTENED,14
user_0001,TRK-DBA61A28B800,LISTENED,10
user_0001,TRK-ADA805BE2619,LISTENED,9
user_0001,TRK-0D69EF12C70D,LIKED,7
user_0001,TRK-3F29B6E6173E,LIKED,9
user_0001,TRK-32FCD157ED35,LISTENED,11
user_0001,TRK-C4603A6D3F7B,LISTENED,7
user_0001,TRK-B0EE2950B307,LISTENED,9
user_0001,TRK-62423A3E8215,LISTENED,10
user_0001,TRK-327C2306C381,LIKED,11
user_0001,TRK-8816F213C894,LISTENED,7
user_0001,TRK-3ABA17990D49,LISTENED,13
user_0001,TRK-A48FA5BF6C10,LISTENED,7
user_0001,TRK-62CD49F6E0A0,LISTENED,10
user_0001,TRK-5918A08925DB,LIKED,12
user_0001,TRK-6464BD1B5532,LIKED,6
user_0001,TRK-46C4CB0C83FA,LIKED,14
user_0001,TRK-36DF003C9D0A,LISTENED,2
user_0001,TRK-A4B16CB64183,LISTENED,6
user_0001,TRK-7F88E17A9ABE,LIKED,12
user_0001,TRK-0A708D8366E1,LISTENED,1
user_0001,TRK-A24AB1453AD5,LISTENED,7
user_0001,TRK-31B3AB5330F6,LIKED,9
user_0001,TRK-7786C210B152,LIKED,12
user_0001,TRK-CAA46984F950,LISTENED,2
user_0001,TRK-141FD97A4639,LISTENED,2
user_0001,TRK-FF7A69D246AE,LISTENED,9
user_0001,TRK-326F27E7CF88,LISTENED,14
user_0001,TRK-0ED0311F750B,LISTENED,8
user_0001,TRK-7930D0D5AA04,LIKED,1
user_0001,TRK-B0E255BB2F54,LISTENED,10
user_0001,TRK-CF93630C3F8B,LIKED,8
user_0001,TRK-8109236560EC,LISTENED,8
user_0001,TRK-763DD4EC3671,LISTENED,12
user_0001,TRK-E56BA8F244AB,LIKED,11
user_0001,TRK-501C9DD51A28,LISTENED,4
user_0001,TRK-0A6A70F37EDC,LISTENED,13
user_0001,TRK-75033C8DC832,LISTENED,9
user_0001,TRK-F21F872CDE4B,LISTENED,14
user_0001,TRK-F5DDF00F99B1,LISTENED,13
user_0001,TRK-E6E475E4729E,LISTENED,1
user_0002,TRK-081CDD7EBA46,LIKED,1
user_0002,TRK-29D581928F0A,LISTENED,14
user_0002,TRK-341CC1F195D6,LIKED,9
user_0002,TRK-73C7BEEF395F,LISTENED,14
user_0002,TRK-79B5BF32C39C,LISTENED,14
user_0002,TRK-973F43B3E2C3,LISTENED,8
user_0002,TRK-AE0643C48803,LISTENED,3
user_0002,TRK-5793CA9E49B2,LISTENED,10
user_0002,TRK-721CA8EDEE98,LISTENED,11
user_0002,TRK-A9DC3BA04F21,LISTENED,7
user_0002,TRK-BF58608DFA91,LISTENED,2
user_0002,TRK-673CE749B8E5,LISTENED,9
user_0002,TRK-A4BC3002DFEB,LISTENED,4
user_0002,TRK-7D9667D49828,LIKED,12
user_0002,TRK-68A9D56F6603,LISTENED,6
user_0002,TRK-CB0F15D8738F,LISTENED,11
user_0002,TRK-19EED6B00C5C,LISTENED,4
user_0002,TRK-8FD3A024A2E3,LISTENED,7
user_0002,TRK-1E09080983A9,LISTENED,8
user_0002,TRK-D97E86CE599A,LISTENED,12
user_0002,TRK-54C396C14902,LISTENED,10
user_0002,TRK-2FD9C2DCB976,LISTENED,2
user_0002,TRK-90843156F43F,LISTENED,10
user_0002,TRK-883FECA63887,LISTENED,13
user_0003,TRK-F354819328E9,LISTENED,12
user_0003,TRK-EEEB284ABD60,LISTENED,4
user_0003,TRK-0379B052CE3D,LISTENED,7
user_0003,TRK-BC9253B5602F,LISTENED,2
user_0003,TRK-F43154DF9CBB,LIKED,12
user_0003,TRK-5A2CF5A053A6,LISTENED,3
user_0003,TRK-A38A8B0EDF59,LISTENED,9
user_0003,TRK-0C25C5494DF5,LISTENED,5
user_0003,TRK-12ACBBB1CCC3,LISTENED,9
user_0003,TRK-AD2BEA668D39,LISTENED,6
user_0003,TRK-DB402CF8A932,LISTENED,14
user_0003,TRK-D5F2C3F81D87,LISTENED,1
user_0003,TRK-3F2CFB47C15C,LISTENED,3
user_0003,TRK-BCEBFB05AB94,LIKED,10
user_0003,TRK-D08F2B7A05CF,LISTENED,14
user_0003,TRK-BD4263598D06,LIKED,3
user_0003,TRK-90AE669A90C4,LISTENED,3
user_0003,TRK-4FCBE25CEFAA,LISTENED,9
user_0003,TRK-87C4B2ADCE98,LISTENED,14
user_0003,TRK-1064F4B8D948,LISTENED,5
user_0003,TRK-95856DFFF85C,LISTENED,3
user_0003,TRK-FB1242ED7F5C,LISTENED,7
user_0003,TRK-67E0A68505E9,LISTENED,6
user_0003,TRK-8AEBD7A2D023,LISTENED,14
user_0003,TRK-393BAC9A6FA9,LIKED,13
user_0003,TRK-5629BED461F3,LIKED,10
user_0003,TRK-1AB035FC1F43,LISTENED,14
user_0003,TRK-F6565DDD58E9,LIKED,6
user_0003,TRK-F6F149319AC6,LISTENED,6
user_0003,TRK-879D17439E25,LISTENED,14
user_0004,TRK-3804CB0FA123,LISTENED,1
user_0004,TRK-25EE616D035B,LIKED,7
